name,type,quantity,unit
Botella Bordelesa 750ml,insumo,45000,units
Botella Bordelesa 375ml,insumo,12000,units
Corcho Natural Premium,insumo,38000,units
Corcho Sintético,insumo,25000,units
Cápsula de Estaño Dorada,insumo,40000,units
Cápsula de PVC Negra,insumo,30000,units
Etiqueta Frontal Malbec Reserva,insumo,15000,units
Etiqueta Trasera Genérica,insumo,20000,units
Caja de Cartón x6 botellas,insumo,7500,units
Caja de Madera x3 Premium,insumo,2000,units
Film Termocontraíble,insumo,800,rolls
Barrica Roble Francés 225L,insumo,45,units
Barrica Roble Americano 225L,insumo,30,units
Ácido Tartárico,insumo,150,kg
Levadura Enológica EC-1118,insumo,80,kg
