name,type,quantity,unit
Malbec Reserva 2021 750ml,producto_terminado,8200,bottles
Cabernet Sauvignon 2022 750ml,producto_terminado,5600,bottles
Torrontés 2023 750ml,producto_terminado,3400,bottles
Bonarda 2022 750ml,producto_terminado,4800,bottles
Syrah Gran Reserva 2020 750ml,producto_terminado,2100,bottles
Chardonnay 2023 750ml,producto_terminado,2800,bottles
Pinot Noir 2021 750ml,producto_terminado,1500,bottles
Blend Tinto Premium 2020 750ml,producto_terminado,900,bottles
Rosé 2023 750ml,producto_terminado,1800,bottles
Malbec Reserva 2021 375ml,producto_terminado,3000,bottles
Tempranillo 2022 750ml,producto_terminado,4200,bottles
Sauvignon Blanc 2023 750ml,producto_terminado,2000,bottles
